match_id,match_date,x,y,xg,is_goal,shot_outcome,shot_body_part,shot_technique,n_defenders_in_cone,n_defenders_closer,dist_nearest_defender,gk_dist_center_goal,gk_dist_to_shooter,n_defenders_total,team_ratio_cone
3773377,2020-12-19,101.9,21.7,0.022515863,0,Off T,Right Foot,Normal,0,3,1.7262676501631957,3.2526911934581144,22.486440358580545,5,0.0
3773377,2020-12-19,91.0,47.3,0.027199345,0,Off T,Right Foot,Normal,1,4,7.749193506423745,3.5846896657869807,26.368541863364385,9,0.0
3773377,2020-12-19,110.5,29.0,0.15781964,0,Blocked,Left Foot,Normal,1,5,4.964876634922564,8.421995013059558,6.122091146005583,7,0.0
3773377,2020-12-19,97.8,35.3,0.06508526,0,Saved,Right Foot,Normal,0,4,2.3769728648009445,3.201562118716427,19.596938536414303,7,0.0
3773377,2020-12-19,113.7,39.9,0.22057752,1,Goal,Head,Normal,0,0,1.7804493814764897,1.9209372712298562,4.972926703662541,9,0.0
3773377,2020-12-19,109.6,32.5,0.030817557,0,Blocked,Head,Normal,1,6,0.9000000000000057,2.0880613017821084,11.237882362794167,9,0.0
3773377,2020-12-19,98.1,41.6,0.036864728,0,Blocked,Right Foot,Half Volley,0,8,0.8544003745317611,2.0396078054371136,19.93614807328638,9,0.0
3773377,2020-12-19,112.7,39.0,0.21967192,0,Saved,Head,Normal,0,1,3.443835071544514,3.0463092423455618,4.504442251822083,7,0.0
3773377,2020-12-19,106.5,40.3,0.20238984,0,Off T,Left Foot,Normal,1,4,3.008321791298269,3.310589071449369,10.557461816175326,5,0.0
3773377,2020-12-19,102.3,47.8,0.057187174,0,Off T,Right Foot,Normal,3,6,3.0016662039607342,3.488552708502477,15.861904047118687,8,0.6666666666666666
3773377,2020-12-19,113.8,39.9,0.5974063,1,Goal,Right Foot,Normal,0,0,0.5385164807134515,3.5383612025908313,4.548626166217661,7,0.0
3773586,2021-04-29,94.4,33.1,0.032587416,0,Off T,Right Foot,Normal,1,9,1.5264337522473739,2.3086792761230366,24.24417455802527,9,0.0
3773586,2021-04-29,111.5,31.7,0.2860311,1,Goal,Left Foot,Normal,0,1,2.6076809620810577,8.627861844049198,3.2649655434629,4,0.0
3773586,2021-04-29,111.6,32.6,0.11818707,1,Goal,Head,Normal,0,1,3.6138621999185316,3.0232432915661964,8.300602387778854,8,0.0
3773586,2021-04-29,99.1,55.2,0.02989931,0,Blocked,Right Foot,Normal,1,5,3.9824615503479763,3.744329045369807,22.100904958847284,6,0.0
3773372,2021-05-08,104.2,23.5,0.03223021,0,Saved,Right Foot,Normal,0,6,1.6763054614240156,3.360059523282291,19.51614716074871,9,0.0
3773372,2021-05-08,98.4,21.4,0.011349107,0,Saved,Right Foot,Normal,2,9,9.596353474106714,0.5000000000000028,28.00589223717037,9,0.0
3773372,2021-05-08,111.2,40.7,0.12975436,0,Blocked,Left Foot,Normal,1,1,1.5297058540778348,1.4560219778561088,7.481310045707228,8,0.0
3773372,2021-05-08,103.5,47.7,0.11268436,0,Saved,Left Foot,Normal,1,5,3.6619666847201073,1.4035668847618257,16.904733065032403,8,0.0
3773372,2021-05-08,118.3,27.8,0.010014265,0,Saved,Left Foot,Normal,0,2,1.2649110640673484,3.452535300326411,8.868483523128406,8,0.0
3773372,2021-05-08,113.3,24.4,0.015683703,0,Saved,Left Foot,Normal,0,5,1.4317821063276335,3.9051248379533257,13.148383931114882,9,0.0
3773372,2021-05-08,109.1,31.8,0.08884963,0,Blocked,Left Foot,Normal,1,4,0.7615773105863947,3.1827660925679098,10.486181383134669,7,0.0
